,entry_count,positive_count,negative_count,correctly_guessed,positive_guess_count,negative_guess_count
Q9NRR2,29,0,29,19,10,19
Q9NX02,68,4,64,50,22,46
Q9NX08,12,0,12,8,4,8
Q9NXK8,22,0,22,14,8,14
Q9NZT2,77,28,49,41,50,27
Q9UET6,24,2,22,12,12,12
Q9UKG1,90,20,70,48,46,44
Q9UMX1,41,6,35,30,11,30
Q9Y274,14,0,14,9,5,9
Q9Y5P0,22,0,22,17,5,17
Q9Y6G9,68,26,42,35,53,15
A0A1B0GUV8,6,0,6,4,2,4
A2RUT3,8,0,8,6,2,6
A3QJZ6,36,0,36,19,17,19
A6NDV4,30,0,30,24,6,24
A6NEQ0,69,0,69,22,47,22
B7ZW38,33,6,27,11,28,5
O14867,95,13,82,56,42,53
O15519,39,2,37,25,16,23
O43310,53,5,48,31,23,30
O43513,10,1,9,5,4,6
O43572,97,19,78,53,45,52
O60242,135,4,131,83,54,81
O75078,56,3,53,36,23,33
O75095,80,0,80,66,14,66
O75113,97,27,70,57,37,60
O75643,141,23,118,85,55,86
O94956,68,3,65,45,26,42
O95800,58,0,58,40,18,40
O95816,30,10,20,14,14,16
P01036,9,3,6,6,4,5
P02741,23,0,23,15,8,15
P07384,59,11,48,36,28,31
P0C0S8,2,0,2,1,1,1
P0DJD9,44,0,44,40,4,40
P0DOY3,14,0,14,7,7,7
P0DX04,2,0,2,2,0,2
P14210,40,1,39,31,10,30
P19013,63,7,56,33,37,26
P20338,15,3,12,7,11,4
P30039,17,0,17,12,5,12
P35452,16,0,16,7,9,7
P37088,68,3,65,45,22,46
P45880,32,9,23,17,12,20
P51970,6,1,5,4,3,3
P53007,14,2,12,8,8,6
P55055,38,2,36,15,25,13
P56282,38,1,37,21,18,20
P58005,31,0,31,19,12,19
P60509,36,0,36,28,8,28
Q02318,25,1,24,16,10,15
Q04724,95,17,78,52,58,37
Q07954,318,10,308,197,129,189
Q13129,214,26,188,127,111,103
Q13526,35,13,22,17,21,14
Q14573,195,20,175,120,79,116
Q14602,3,0,3,1,2,1
Q15349,55,7,48,31,29,26
Q17RN3,23,0,23,15,8,15
Q3MIT2,37,4,33,17,24,13
Q494V2,49,1,48,22,28,21
Q53GD3,47,0,47,35,12,35
Q5SWX8,37,0,37,19,18,19
Q5TEC6,5,0,5,1,4,1
Q5THK1,286,29,257,154,143,143
Q5TYX0,27,0,27,24,3,24
Q5VT40,16,0,16,11,5,11
Q5VU36,156,0,156,138,18,138
Q5VXJ0,23,0,23,14,9,14
Q6ISB3,65,10,55,41,34,31
Q6URK8,17,0,17,10,7,10
Q6UWV6,19,0,19,12,7,12
Q7L0R7,34,0,34,21,13,21
Q7RTV3,26,4,22,17,9,17
Q7Z4Q2,51,0,51,33,18,33
Q7Z7K2,48,0,48,24,24,24
Q86UT6,60,2,58,35,27,33
Q86VE3,91,0,91,57,34,57
Q86X10,170,30,140,92,82,88
Q8N3U4,101,16,85,55,52,49
Q8N465,32,0,32,25,7,25
Q8N4C8,132,36,96,67,83,49
Q8N7R7,37,10,27,21,24,13
Q8NDT2,127,40,87,63,80,47
Q8NFP7,10,2,8,6,6,4
Q8WTU2,23,0,23,17,6,17
Q8WUM9,80,15,65,52,35,45
Q8WXG9,506,8,498,308,200,306
Q92905,25,3,22,15,13,12
Q969M1,16,0,16,13,3,13
Q96CA5,20,2,18,12,10,10
Q96DZ9,14,0,14,13,1,13
Q96GL9,14,0,14,8,6,8
Q96LS8,17,0,17,10,7,10
Q9BQT9,73,1,72,46,28,45
Q9BR76,41,6,35,23,24,17
Q9BYV6,35,1,34,17,19,16
Q9H0I9,43,0,43,28,15,28
Q9H2C5,16,0,16,15,1,15
Q9H4L5,155,44,111,86,73,82
Q9HB40,33,0,33,24,9,24
Q9NXK6,30,0,30,26,4,26
Q9P104,23,1,22,11,11,12
Q9P1D8,2,0,2,1,1,1
Q9P241,124,5,119,69,60,64
Q9UDX3,22,0,22,11,11,11
Q9UL59,55,1,54,32,24,31
Q9UMX6,5,0,5,4,1,4
Q9WJR5,50,0,50,34,16,34
Q9Y233,53,3,50,34,22,31
A0A5A2,7,0,7,3,4,3
A0A6Q8PGS0,2,0,2,0,2,0
A6NCL1,35,0,35,21,14,21
A8MWY0,96,3,93,69,28,68
O00444,128,18,110,68,64,64
O14508,14,0,14,8,6,8
O14657,16,0,16,8,8,8
O15400,32,12,20,16,20,12
O43194,53,4,49,35,20,33
O43304,53,0,53,38,15,38
O75444,36,1,35,21,16,20
O95487,159,6,153,111,50,109
P03886,19,0,19,16,3,16
P06133,36,0,36,26,10,26
P08185,37,0,37,23,14,23
P08F94,373,1,372,254,120,253
P09417,22,3,19,14,7,15
P09543,27,6,21,11,18,9
P0DMC3,2,0,2,2,0,2
P0DV77,18,0,18,13,5,13
P10997,7,0,7,6,1,6
P14415,9,0,9,7,2,7
P19875,5,0,5,2,3,2
P22528,1,0,1,1,0,1
P22692,14,0,14,8,6,8
P24752,31,5,26,17,19,12
P25398,4,1,3,3,2,2
P35269,82,33,49,42,51,31
P35372,35,5,30,25,13,22
P42681,41,0,41,21,20,21
P50225,16,2,14,10,8,8
P51684,31,0,31,22,9,22
P51801,55,0,55,38,17,38
P53985,43,6,37,32,9,34
P59773,18,0,18,6,12,6
P59797,26,0,26,22,4,22
P62910,9,3,6,6,4,5
P78386,47,0,47,25,22,25
P98164,352,14,338,234,126,226
Q04118,18,1,17,6,13,5
Q06945,94,11,83,48,57,37
Q09MP3,112,3,109,73,42,70
Q13114,53,5,48,27,31,22
Q13115,45,5,40,29,21,24
Q14674,194,24,170,120,80,114
Q14766,125,7,118,88,42,83
Q14957,103,1,102,60,44,59
Q15035,16,1,15,11,6,10
Q15057,82,16,66,42,50,32
Q16671,40,1,39,28,13,27
Q3B7T1,136,4,132,77,61,75
Q3SXZ3,35,0,35,23,12,23
Q53FV1,10,0,10,7,3,7
Q5I0G3,30,0,30,22,8,22
Q5JTW2,67,7,60,34,40,27
Q5STR5,1,0,1,1,0,1
Q5T5C0,133,25,108,74,70,63
Q5T686,11,0,11,5,6,5
Q5T6J7,13,0,13,6,7,6
Q5T7W0,85,5,80,46,38,47
Q70EL2,87,0,87,46,41,46
Q71F56,262,32,230,160,110,152
Q7RTT3,9,0,9,4,5,4
Q86XM0,62,0,62,51,11,51
Q8IYI6,50,10,40,34,18,32
Q8IZC4,49,5,44,29,25,24
Q8N0Z3,103,27,76,56,52,51
Q8N2U0,7,0,7,5,2,5
Q8N608,71,4,67,39,30,41
Q8N806,39,10,29,23,22,17
Q8N8F6,31,1,30,21,11,20
Q8NAF0,41,10,31,23,26,15
Q8NCX0,64,1,63,31,34,30
Q8NGE9,19,0,19,12,7,12
Q8NGI6,22,0,22,18,4,18
Q8NGS7,27,0,27,23,4,23
Q8NH64,22,0,22,19,3,19
Q8WU76,47,2,45,28,19,28
Q8WXK1,27,0,27,18,9,18
Q92504,39,3,36,25,13,26
Q92995,67,7,60,37,29,38
Q93052,64,21,43,38,31,33
Q96CM8,38,5,33,23,20,18
Q96JB3,62,8,54,34,32,30
Q96MC9,26,0,26,18,8,18
Q96Q89,169,20,149,87,86,83
Q9GZU0,14,0,14,6,8,6
Q9H158,95,4,91,57,42,53
Q9HAQ2,68,8,60,29,37,31
Q9NQX0,53,1,52,37,17,36
Q9NRE2,150,12,138,75,87,63
Q9NRU3,77,6,71,46,37,40
Q9P0L9,51,0,51,29,22,29
Q9UBR1,19,0,19,11,8,11
Q9UH90,58,0,58,37,21,37
Q9UHV5,44,2,42,21,25,19
Q9ULE4,74,5,69,41,38,36
Q9UMW8,28,0,28,16,12,16
A0A0B4J1X8,12,0,12,8,4,8
A0A1W2PQ72,34,0,34,16,18,16
A5PLN9,32,0,32,25,7,25
A8MQ14,86,2,84,60,28,58
A8MVZ5,20,0,20,16,4,16
O00453,10,3,7,4,5,5
O00591,44,3,41,22,25,19
O00622,25,1,24,18,8,17
O14544,78,12,66,37,53,25
O14595,17,0,17,9,8,9
O14810,5,2,3,2,5,0
O15021,394,49,345,171,268,126
O15050,182,5,177,105,82,100
O15117,91,19,72,43,53,38
O15144,19,3,16,10,12,7
O15156,37,4,33,16,23,14
O15194,24,3,21,14,11,13
O15552,24,2,22,18,8,16
O43820,21,0,21,14,7,14
O43847,73,8,65,40,37,36
O75460,91,9,82,53,47,44
O75787,39,3,36,22,20,19
P05455,23,6,17,13,10,13
P05496,14,0,14,9,5,9
P08754,25,5,20,15,13,12
P15391,54,3,51,27,30,24
P16402,26,11,15,13,22,4
P22626,42,19,23,20,37,5
P29274,24,1,23,17,8,16
P30837,23,5,18,12,14,9
P42695,171,32,139,99,68,103
P50120,3,0,3,2,1,2
P78334,48,1,47,30,19,29
Q01538,147,17,130,76,82,65
Q07325,7,0,7,4,3,4
Q09327,25,0,25,21,4,21
Q13257,21,5,16,14,6,15
Q13371,28,8,20,14,22,6
Q13630,20,3,17,13,10,10
Q15544,18,3,15,9,12,6
Q16625,66,21,45,40,31,35
Q4G0X9,74,4,70,34,44,30
Q538Z0,4,0,4,3,1,3
Q56VL3,13,1,12,9,5,8
Q587J7,74,0,74,39,35,39
Q5T0D9,15,1,14,7,9,6
Q5TCM9,21,0,21,17,4,17
Q5VTY9,34,0,34,31,3,31
Q5VZR4,9,1,8,5,5,4
Q63HM9,18,0,18,10,8,10
Q6P3W7,83,10,73,53,28,55
Q6UWY2,19,0,19,14,5,14
Q6ZNH5,39,0,39,21,18,21
Q7Z434,98,28,70,57,31,67
Q86SQ0,233,72,161,120,137,96
Q86VZ5,19,0,19,10,9,10
Q86YH2,55,5,50,33,27,28
Q86YR6,46,1,45,23,24,22
Q8IU81,50,14,36,24,34,16
Q8IV33,113,2,111,81,34,79
Q8IVF6,53,1,52,28,26,27
Q8IZL2,137,11,126,88,58,79
Q8N1L9,31,2,29,20,13,18
Q8N336,17,0,17,10,7,10
Q8N5M4,8,1,7,3,6,2
Q8N5M9,17,1,16,14,4,13
Q8N9F0,10,0,10,7,3,7
Q8NC60,39,2,37,19,22,17
Q8NDX2,42,0,42,27,15,27
Q8NG85,24,0,24,18,6,18
Q8TAB5,21,0,21,11,10,11
Q8TAC1,10,1,9,8,3,7
Q8TBY0,36,2,34,18,20,16
Q96E52,38,2,36,25,13,25
Q96FT9,18,2,16,7,13,5
Q96HQ0,47,2,45,31,18,29
Q96IU4,15,2,13,12,5,10
Q96IX9,6,0,6,1,5,1
Q96L91,286,46,240,165,123,163
Q9BRQ0,35,6,29,20,15,20
Q9BRZ2,43,6,37,29,18,25
Q9BUL8,12,1,11,4,9,3
Q9BYR5,15,0,15,14,1,14
Q9H1M3,12,0,12,7,5,7
Q9H5I1,26,4,22,18,10,16
Q9HCX3,67,5,62,42,30,37
Q9NQ32,27,0,27,17,10,17
Q9NQF3,17,0,17,13,4,13
Q9NQI0,62,2,60,22,42,20
Q9NR99,280,12,268,157,135,145
Q9NRY6,13,2,11,8,5,8
Q9NRZ7,18,0,18,11,7,11
Q9NV35,7,0,7,3,4,3
Q9NY74,124,17,107,63,74,50
Q9NY87,9,0,9,0,9,0
Q9UBS3,25,4,21,15,12,13
Q9UQG0,46,0,46,30,16,30
Q9Y2Z4,31,3,28,21,11,20
A0A075B6H9,21,0,21,14,7,14
A0A096LPG2,1,0,1,1,0,1
A0A2R8Y4M4,8,0,8,5,3,5
A6NFA1,33,0,33,22,11,22
A8MUZ8,24,0,24,18,6,18
B0I1T2,55,5,50,31,29,26
O00253,3,0,3,3,0,3
O00566,69,21,48,29,51,18
O14905,30,0,30,20,10,20
O15528,29,0,29,20,9,20
O75093,100,0,100,62,38,62
O75534,58,13,45,30,39,19
O94875,177,40,137,96,113,64
O95455,22,0,22,12,10,12
O95868,9,0,9,8,1,8
P04216,22,3,19,12,13,9
P0C7N1,27,0,27,23,4,23
P0DN81,26,0,26,21,5,21
P0DPI3,17,0,17,5,12,5
P17031,56,3,53,39,20,36
P28039,54,4,50,36,20,34
P30085,14,3,11,9,8,6
P30301,19,3,16,13,5,14
P32247,41,0,41,30,11,30
P32302,25,2,23,14,13,12
P50151,2,0,2,2,0,2
P51687,37,1,36,25,11,26
P51811,42,5,37,25,20,22
P55773,10,0,10,7,3,7
P56278,4,0,4,3,1,3
P63172,10,1,9,7,2,8
P68366,35,14,21,18,27,8
P84243,11,5,6,5,11,0
Q00532,15,0,15,9,6,9
Q01851,33,2,31,23,12,21
Q01974,74,3,71,42,33,41
Q05195,35,7,28,14,18,17
Q05329,32,1,31,19,14,18
Q12802,407,88,319,210,273,134
Q13415,108,31,77,56,67,41
Q13938,27,3,24,15,15,12
Q14410,37,0,37,27,10,27
Q14831,58,3,55,38,21,37
Q16595,19,3,16,7,15,4
Q3KNW5,26,0,26,23,3,23
Q4G0A6,94,18,76,45,65,29
Q4ZHG4,228,22,206,109,139,89
Q5SY68,6,0,6,3,3,3
Q5T871,8,0,8,6,2,6
Q5VXU9,147,2,145,86,63,84
Q6PB30,6,0,6,3,3,3
Q6UX65,19,0,19,17,2,17
Q6ZS62,11,0,11,9,2,9
Q7L2K0,30,0,30,17,13,17
Q7L5A8,24,0,24,18,6,18
Q7Z478,110,14,96,68,48,62
Q86VZ2,38,0,38,15,23,15
Q86WH2,18,2,16,11,9,9
Q86WR6,21,0,21,10,11,10
Q8IXQ3,14,6,8,8,10,4
Q8N146,29,0,29,27,2,27
Q8N302,69,9,60,35,39,30
Q8N8E3,73,14,59,36,49,24
Q8TAS1,32,1,31,21,12,20
Q8TC21,37,0,37,19,18,19
Q96F63,25,7,18,16,8,17
Q96FQ7,9,1,8,4,6,3
Q96M32,37,3,34,20,20,17
Q96M94,42,1,41,27,16,26
Q96NJ3,47,0,47,35,12,35
Q96PZ7,341,2,339,226,117,224
Q96QH8,10,0,10,8,2,8
Q96R28,30,0,30,23,7,23
Q96T88,80,21,59,41,40,40
Q99437,14,0,14,13,1,13
Q99784,37,0,37,27,10,27
Q9BQ39,90,13,77,50,41,49
Q9BWS9,29,2,27,17,14,15
Q9BWU0,86,19,67,45,48,38
Q9BY41,23,1,22,15,9,14
Q9BY79,57,0,57,41,16,41
Q9H1K1,16,6,10,9,11,5
Q9H313,33,0,33,23,10,23
Q9HC78,98,16,82,62,50,48
Q9NSQ0,3,0,3,2,1,2
Q9NWH9,169,56,113,81,136,33
Q9NYZ2,25,0,25,14,11,14
Q9P203,117,10,107,68,59,58
Q9P2X8,9,0,9,5,4,5
Q9UHF5,14,0,14,7,7,7
Q9UL18,43,6,37,23,26,17
Q9UMR3,56,0,56,34,22,34
Q9UNK4,5,0,5,4,1,4
Q9Y3U8,5,1,4,4,2,3
Q9Y5H3,88,1,87,55,34,54
Q9Y6E2,23,2,21,13,12,11
Q9Y6E7,26,3,23,18,9,17
Q9Y6F6,106,11,95,47,70,36
Q9Y6Q9,213,35,178,106,134,79
A0A087WT01,10,0,10,8,2,8
A0A2U3TZM8,34,0,34,14,20,14
A0A6Q8PGZ7,2,0,2,2,0,2
A0FGR8,96,21,75,55,50,46
A9YTQ3,60,2,58,32,28,32
B2RXF0,23,0,23,18,5,18
C4AMC7,37,0,37,27,10,27
E2RYF7,19,0,19,5,14,5
O14817,11,0,11,10,1,10
O14901,51,5,46,27,29,22
O15537,20,3,17,14,9,11
O43529,14,0,14,3,11,3
O60756,5,0,5,4,1,4
O75971,9,0,9,5,4,5
O95049,93,0,93,36,57,36
O95644,134,28,106,74,78,56
P01730,41,4,37,21,22,19
P04198,47,8,39,21,30,17
P07204,32,0,32,21,11,21
P07305,21,5,16,9,13,8
P0C0S5,9,1,8,6,4,5
P0C7V9,15,1,14,8,8,7
P0DH78,6,0,6,3,3,3
P13798,69,7,62,49,21,48
P15289,28,0,28,19,9,19
P23434,15,3,12,8,8,7
P24390,12,0,12,8,4,8
P29371,35,0,35,25,10,25
P39748,39,12,27,21,20,19
P49207,9,2,7,6,5,4
P51689,33,0,33,22,11,22
P52564,29,6,23,17,16,13
P54845,16,1,15,6,11,5
P60484,29,8,21,16,21,8
P62310,2,0,2,1,1,1
Q02577,11,0,11,4,7,4
Q08AG7,4,0,4,1,3,1
Q13117,35,0,35,20,15,20
Q14344,23,1,22,17,7,16
Q14498,78,23,55,46,39,39
Q15435,30,8,22,19,13,17
Q16515,30,0,30,21,9,21
Q38SD2,158,2,156,96,62,96
Q496Y0,47,1,46,25,21,26
Q5BKY1,15,0,15,10,5,10
Q5GLZ8,67,3,64,43,27,40
Q5JXM2,31,0,31,14,17,14
Q5T0L3,31,0,31,19,12,19
Q6DN03,29,6,23,15,20,9
Q6P9F0,72,4,68,40,34,38
Q6UWI2,48,0,48,34,14,34
Q6UXV4,24,0,24,16,8,16
Q6ZR08,179,2,177,115,64,115
Q6ZWI9,19,0,19,15,4,15
Q7RTS1,12,0,12,5,7,5
Q86SK9,20,0,20,11,9,11
Q86WZ0,72,2,70,33,41,31
Q86YW7,2,0,2,2,0,2
Q8IZ40,51,13,38,24,40,11
Q8N4F4,42,0,42,30,12,30
Q8N4S9,49,11,38,28,22,27
Q8N5X7,15,0,15,10,5,10
Q8N9Z9,43,0,43,28,15,28
Q8NA61,44,10,34,19,35,9
Q8ND90,14,1,13,9,6,8
Q8NGI3,27,0,27,24,3,24
Q8NGL1,27,0,27,25,2,25
Q8NHP1,21,2,19,13,10,11
Q8TAE8,8,1,7,5,4,4
Q8TDG4,85,2,83,44,43,42
Q8WVN8,32,1,31,18,15,17
Q92569,28,2,26,16,10,18
Q92608,148,28,120,88,66,82
Q92963,16,3,13,9,10,6
Q96EY4,11,2,9,3,10,1
Q96KN4,18,2,16,10,10,8
Q96LC7,80,5,75,55,26,54
Q96MT7,122,1,121,63,60,62
Q96N67,235,42,193,140,117,118
Q96NW7,156,8,148,85,75,81
Q9BRP4,38,1,37,25,14,24
Q9BVV8,11,2,9,5,8,3
Q9BY15,66,3,63,51,14,52
Q9H115,16,0,16,9,7,9
Q9H6X4,24,3,21,14,13,11
Q9H9J4,175,34,141,101,88,87
Q9NPA3,20,7,13,11,14,6
Q9NPF5,33,9,24,15,19,14
Q9NPI6,92,26,66,52,34,58
Q9NVM1,14,4,10,8,10,4
Q9NX61,30,4,26,21,13,17
Q9UBC2,143,43,100,69,105,38
Q9UFH2,241,7,234,140,106,135
Q9UIB8,30,3,27,17,14,16
Q9ULZ1,3,0,3,2,1,2
Q9UM63,41,3,38,29,13,28
Q9UMQ6,53,0,53,30,23,30
Q9UNS2,30,3,27,16,15,15
Q9UPX8,206,27,179,114,117,89
Q9Y6B6,11,2,9,7,6,5
A0A0B4J2A2,9,0,9,4,5,4
A0A0J9YXV3,14,0,14,10,4,10
A0A1B0GVZ9,23,0,23,15,8,15
A0A286YF77,6,0,6,6,0,6
A0PJE2,18,0,18,13,5,13
A6NEH6,10,0,10,6,4,6
O14792,17,0,17,12,5,12
O75452,22,1,21,15,8,14
O75678,35,0,35,22,13,22
O75820,49,1,48,29,21,28
O95704,45,3,42,29,19,26
P04049,101,36,65,56,59,42
P04908,3,0,3,1,2,1
P0DMU8,16,0,16,8,8,8
P0DP01,13,0,13,7,6,7
P20963,8,3,5,4,7,1
P25440,104,20,84,59,55,49
P29597,82,8,74,52,30,52
P31949,12,6,6,6,4,8
P43268,39,3,36,23,19,20
P47944,1,0,1,1,0,1
P50443,67,6,61,51,20,47
P50539,30,1,29,10,21,9
P50851,316,60,256,195,165,151
P51460,4,0,4,3,1,3
P55285,55,2,53,30,27,28
P78406,33,2,31,19,16,17
Q06732,58,0,58,42,16,42
Q13838,26,8,18,14,18,8
Q15366,49,13,36,21,39,10
Q32P41,40,2,38,25,17,23
Q49AH0,9,0,9,2,7,2
Q5FWF6,28,0,28,19,9,19
Q5H8A4,85,1,84,60,26,59
Q5T8D3,65,17,48,38,32,33
Q5TA81,15,0,15,14,1,14
Q5VTE6,54,2,52,36,20,34
Q68D06,70,1,69,45,26,44
Q6NXN4,16,0,16,9,7,9
Q6ZNE9,37,0,37,21,16,21
Q7L8A9,30,3,27,19,12,18
Q7RTU4,18,0,18,9,9,9
Q7Z3D6,43,2,41,26,19,24
Q7Z3U7,141,0,141,93,48,93
Q86VD9,37,0,37,27,10,27
Q86WS3,10,0,10,6,4,6
Q8IVT2,96,39,57,45,64,32
Q8IYT4,39,0,39,25,14,25
Q8IZJ1,79,5,74,55,29,50
Q8N1N2,23,0,23,18,5,18
Q8N5Z5,21,0,21,16,5,16
Q8N9F7,14,0,14,9,5,9
Q8NBJ9,61,4,57,42,23,38
Q8NCT3,47,0,47,24,23,24
Q8NER5,32,0,32,23,9,23
Q8NGR3,25,1,24,22,2,23
Q8NGX2,27,2,25,22,7,20
Q8NHS3,36,1,35,28,9,27
Q8TB24,101,12,89,55,56,45
Q8TCY9,72,5,67,41,34,38
Q8TDY4,87,6,81,46,47,40
Q8WWB7,38,0,38,22,16,22
Q8WWU5,42,0,42,26,16,26
Q92870,85,16,69,46,53,32
Q969H9,12,0,12,10,2,10
Q96AQ7,18,0,18,8,10,8
Q96CS7,11,0,11,4,7,4
Q96DC7,31,0,31,25,6,25
Q96EG1,32,2,30,21,13,19
Q96LJ7,29,2,27,19,10,19
Q96MH6,7,0,7,2,5,2
Q9BQY9,31,3,28,19,13,18
Q9BT23,13,3,10,8,8,5
Q9BV87,39,0,39,31,8,31
Q9BZL4,81,23,58,42,58,23
Q9H093,69,11,58,33,37,32
Q9H0X4,59,2,57,43,18,41
Q9H0Z9,14,0,14,9,5,9
Q9H201,94,22,72,51,61,33
Q9HA77,42,1,41,29,14,28
Q9HCC6,18,1,17,5,14,4
Q9HCU4,251,16,235,147,104,147
Q9HD40,45,8,37,26,23,22
Q9NQS3,42,4,38,22,24,18
Q9NS68,43,2,41,25,20,23
Q9NS98,49,1,48,26,22,27
Q9NUJ3,45,9,36,26,24,21
Q9NYJ7,40,2,38,22,20,20
Q9P2E3,119,4,115,80,43,76
Q9UBS8,39,5,34,21,19,20
Q9UBX7,21,0,21,15,6,15
Q9UL19,15,1,14,10,4,11
Q9ULB4,51,3,48,35,19,32
Q9UN30,37,7,30,19,21,16
Q9UQ90,38,1,37,18,21,17
Q9Y4C8,88,16,72,45,59,29
Q9Y4F1,125,36,89,68,67,58
Q9Y4G2,114,13,101,68,57,57
A0A0G2JMI3,7,0,7,6,1,6
A0A0J9YX57,52,0,52,21,31,21
A0A1W2PPE2,14,0,14,9,5,9
A0A590UJ96,87,0,87,49,38,49
A0A8V8TLY5,11,0,11,5,6,5
A6NHM9,32,0,32,26,6,26
A6NKC9,42,0,42,19,23,19
O00469,31,1,30,16,16,15
O00471,40,1,39,28,13,27
O14862,17,1,16,4,14,3
O15173,19,4,15,7,10,9
O15305,12,3,9,8,7,5
O43189,63,5,58,37,31,32
O94905,21,2,19,15,8,13
O95156,20,0,20,14,6,14
O95274,27,1,26,18,10,17
O95620,16,0,16,6,10,6
O95936,76,7,69,41,42,34
P01011,32,3,29,18,17,15
P03999,25,0,25,22,3,22
P05091,27,5,22,12,20,7
P05386,8,3,5,5,4,4
P0DV74,43,0,43,34,9,34
P16591,68,9,59,41,32,36
P16860,15,0,15,8,7,8
P17516,20,5,15,11,14,6
P18433,64,7,57,36,29,35
P19388,5,0,5,3,2,3
P19622,32,4,28,14,22,10
P26371,38,0,38,34,4,34
P28330,31,3,28,19,13,18
P28472,32,2,30,18,16,16
P34903,36,3,33,26,13,23
P48067,50,2,48,40,10,40
P49407,19,3,16,13,7,12
P50591,28,1,27,20,7,21
P56715,248,6,242,133,117,131
P60660,6,3,3,3,6,0
P61513,10,4,6,5,5,5
P62502,9,0,9,6,3,6
P62834,10,2,8,7,5,5
Q00LT1,3,0,3,2,1,2
Q01831,106,31,75,56,55,51
Q07890,121,13,108,57,77,44
Q13888,31,1,30,19,13,18
Q13946,52,5,47,27,24,28
Q147U1,43,2,41,26,19,24
Q15327,8,0,8,6,2,6
Q330K2,18,0,18,11,7,11
Q5I0X7,8,0,8,4,4,4
Q5JR12,43,7,36,22,26,17
Q5T3U5,99,5,94,66,32,67
Q5T764,17,0,17,10,7,10
Q5T9L3,26,2,24,17,11,15
Q5VTL8,90,28,62,53,41,49
Q5VW22,79,0,79,45,34,45
Q6P2C8,28,3,25,16,15,13
Q6UXQ4,5,0,5,2,3,2
Q7LGA3,14,0,14,9,5,9
Q7Z5K2,147,36,111,75,72,75
Q86TX2,16,2,14,7,11,5
Q86VY9,69,8,61,39,36,33
Q8IX01,131,34,97,66,75,56
