,entry_count,positive_count,negative_count,correctly_guessed,positive_guess_count,negative_guess_count
Q86W54,15,0,15,0,4,0
Q86W74,14,0,14,0,2,0
Q8IUF8,38,6,32,6,20,0
Q8N814,10,0,10,0,5,0
Q8N976,14,0,14,0,6,0
Q8N9P0,19,0,19,0,11,0
Q8NDY8,17,0,17,0,7,0
Q8NGK5,21,0,21,0,3,0
Q8NGQ5,22,0,22,0,2,0
Q8TAI7,14,0,14,0,4,0
Q8TBE9,12,1,11,0,3,0
Q8TER0,104,0,104,0,32,0
Q96A70,33,1,32,0,5,0
Q96BN8,14,1,13,1,5,0
Q96C45,117,5,112,5,46,0
Q96DC9,16,0,16,0,3,0
Q96F07,78,3,75,3,40,0
Q96GS4,43,10,33,10,32,0
Q96HM7,21,0,21,0,5,0
Q96HQ2,8,0,8,0,2,0
Q96S07,27,0,27,0,11,0
Q99675,28,1,27,1,11,0
Q9BRT6,3,0,3,0,2,0
Q9BVW5,19,4,15,4,13,0
Q9BW04,116,35,81,21,68,0
Q9BYR6,5,0,5,0,0,0
Q9BZS9,3,1,2,0,0,0
Q9H0H0,95,0,95,0,30,0
Q9H0Q3,4,0,4,0,0,0
Q9H4I9,13,0,13,0,6,0
Q9H521,3,0,3,0,1,0
Q9H6L4,16,1,15,0,5,0
Q9HAT2,40,1,39,0,12,0
Q9NPF2,19,0,19,0,10,0
Q9NQA5,48,7,41,6,24,0
Q9NRR2,29,0,29,0,6,0
Q9NX02,68,4,64,4,20,0
Q9NX08,12,0,12,0,5,0
Q9NXK8,22,0,22,0,7,0
Q9NZT2,77,28,49,28,71,0
Q9UET6,24,2,22,2,12,0
Q9UKG1,90,20,70,18,53,0
Q9UMX1,41,6,35,5,20,0
Q9Y274,14,0,14,0,6,0
Q9Y5P0,22,0,22,0,1,0
Q9Y6G9,68,26,42,25,56,0
A0A1B0GUV8,6,0,6,0,1,0
A2RUT3,8,0,8,0,0,0
A3QJZ6,36,0,36,0,15,0
A6NDV4,30,0,30,0,6,0
A6NEQ0,69,0,69,0,36,0
B7ZW38,33,6,27,5,25,0
O14867,95,13,82,5,37,0
O15519,39,2,37,2,14,0
O43310,53,5,48,4,29,0
O43513,10,1,9,1,5,0
O43572,97,19,78,12,44,0
O60242,135,4,131,3,49,0
O75078,56,3,53,3,25,0
O75095,80,0,80,0,14,0
O75113,97,27,70,17,53,0
O75643,141,23,118,8,49,0
O94956,68,3,65,3,21,0
O95800,58,0,58,0,17,0
O95816,30,10,20,4,14,0
P01036,9,3,6,2,4,0
P02741,23,0,23,0,9,0
P07384,59,11,48,10,37,0
P0C0S8,2,0,2,0,0,0
P0DJD9,44,0,44,0,5,0
P0DOY3,14,0,14,0,6,0
P0DX04,2,0,2,0,0,0
P14210,40,1,39,1,10,0
P19013,63,7,56,6,36,0
P20338,15,3,12,3,10,0
P30039,17,0,17,0,7,0
P35452,16,0,16,0,7,0
P37088,68,3,65,3,36,0
P45880,32,9,23,3,12,0
P51970,6,1,5,1,2,0
P53007,14,2,12,2,6,0
P55055,38,2,36,2,19,0
P56282,38,1,37,1,18,0
P58005,31,0,31,0,11,0
P60509,36,0,36,0,11,0
Q02318,25,1,24,0,6,0
Q04724,95,17,78,13,49,0
Q07954,318,10,308,6,92,0
Q13129,214,26,188,17,98,0
Q13526,35,13,22,9,22,0
Q14573,195,20,175,13,78,0
Q14602,3,0,3,0,2,0
Q15349,55,7,48,4,30,0
Q17RN3,23,0,23,0,11,0
Q3MIT2,37,4,33,3,21,0
Q494V2,49,1,48,1,31,0
Q53GD3,47,0,47,0,11,0
Q5SWX8,37,0,37,0,14,0
Q5TEC6,5,0,5,0,3,0
Q5THK1,286,29,257,25,140,0
Q5TYX0,27,0,27,0,4,0
Q5VT40,16,0,16,0,8,0
Q5VU36,156,0,156,0,23,0
Q5VXJ0,23,0,23,0,6,0
Q6ISB3,65,10,55,7,30,0
Q6URK8,17,0,17,0,8,0
Q6UWV6,19,0,19,0,5,0
Q7L0R7,34,0,34,0,13,0
Q7RTV3,26,4,22,4,19,0
Q7Z4Q2,51,0,51,0,14,0
Q7Z7K2,48,0,48,0,24,0
Q86UT6,60,2,58,1,25,0
Q86VE3,91,0,91,0,38,0
Q86X10,170,30,140,28,105,0
Q8N3U4,101,16,85,13,53,0
Q8N465,32,0,32,0,8,0
Q8N4C8,132,36,96,36,105,0
Q8N7R7,37,10,27,9,26,0
Q8NDT2,127,40,87,36,102,0
Q8NFP7,10,2,8,1,3,0
Q8WTU2,23,0,23,0,3,0
Q8WUM9,80,15,65,15,41,0
Q8WXG9,506,8,498,3,176,0
Q92905,25,3,22,1,3,0
Q969M1,16,0,16,0,5,0
Q96CA5,20,2,18,1,6,0
Q96DZ9,14,0,14,0,0,0
Q96GL9,14,0,14,0,5,0
Q96LS8,17,0,17,0,7,0
Q9BQT9,73,1,72,1,30,0
Q9BR76,41,6,35,5,16,0
Q9BYV6,35,1,34,0,19,0
Q9H0I9,43,0,43,0,19,0
Q9H2C5,16,0,16,0,0,0
Q9H4L5,155,44,111,39,102,0
Q9HB40,33,0,33,0,9,0
Q9NXK6,30,0,30,0,2,0
Q9P104,23,1,22,0,8,0
Q9P1D8,2,0,2,0,1,0
Q9P241,124,5,119,4,50,0
Q9UDX3,22,0,22,0,14,0
Q9UL59,55,1,54,1,10,0
Q9UMX6,5,0,5,0,1,0
Q9WJR5,50,0,50,0,12,0
Q9Y233,53,3,50,2,20,0
A0A5A2,7,0,7,0,4,0
A0A6Q8PGS0,2,0,2,0,2,0
A6NCL1,35,0,35,0,12,0
A8MWY0,96,3,93,3,34,0
O00444,128,18,110,15,79,0
O14508,14,0,14,0,10,0
O14657,16,0,16,0,6,0
O15400,32,12,20,12,27,0
O43194,53,4,49,3,20,0
O43304,53,0,53,0,21,0
O75444,36,1,35,1,20,0
O95487,159,6,153,2,51,0
P03886,19,0,19,0,1,0
P06133,36,0,36,0,12,0
P08185,37,0,37,0,12,0
P08F94,373,1,372,1,120,0
P09417,22,3,19,2,9,0
P09543,27,6,21,4,14,0
P0DMC3,2,0,2,0,0,0
P0DV77,18,0,18,0,9,0
P10997,7,0,7,0,2,0
P14415,9,0,9,0,2,0
P19875,5,0,5,0,3,0
P22528,1,0,1,0,0,0
P22692,14,0,14,0,5,0
P24752,31,5,26,5,18,0
P25398,4,1,3,1,3,0
P35269,82,33,49,27,63,0
P35372,35,5,30,5,15,0
P42681,41,0,41,0,16,0
P50225,16,2,14,2,7,0
P51684,31,0,31,0,7,0
P51801,55,0,55,0,12,0
P53985,43,6,37,3,12,0
P59773,18,0,18,0,10,0
P59797,26,0,26,0,9,0
P62910,9,3,6,2,6,0
P78386,47,0,47,0,21,0
P98164,352,14,338,12,104,0
Q04118,18,1,17,1,4,0
Q06945,94,11,83,10,56,0
Q09MP3,112,3,109,3,54,0
Q13114,53,5,48,5,29,0
Q13115,45,5,40,4,23,0
Q14674,194,24,170,20,96,0
Q14766,125,7,118,5,42,0
Q14957,103,1,102,1,45,0
Q15035,16,1,15,1,3,0
Q15057,82,16,66,12,48,0
Q16671,40,1,39,1,14,0
Q3B7T1,136,4,132,4,72,0
Q3SXZ3,35,0,35,0,8,0
Q53FV1,10,0,10,0,1,0
Q5I0G3,30,0,30,0,14,0
Q5JTW2,67,7,60,7,42,0
Q5STR5,1,0,1,0,1,0
Q5T5C0,133,25,108,22,74,0
Q5T686,11,0,11,0,5,0
Q5T6J7,13,0,13,0,6,0
Q5T7W0,85,5,80,1,44,0
Q70EL2,87,0,87,0,40,0
Q71F56,262,32,230,19,109,0
Q7RTT3,9,0,9,0,5,0
Q86XM0,62,0,62,0,14,0
Q8IYI6,50,10,40,9,30,0
Q8IZC4,49,5,44,3,23,0
Q8N0Z3,103,27,76,25,71,0
Q8N2U0,7,0,7,0,1,0
Q8N608,71,4,67,3,35,0
Q8N806,39,10,29,6,21,0
Q8N8F6,31,1,30,0,4,0
Q8NAF0,41,10,31,10,32,0
Q8NCX0,64,1,63,1,43,0
Q8NGE9,19,0,19,0,3,0
Q8NGI6,22,0,22,0,2,0
Q8NGS7,27,0,27,0,6,0
Q8NH64,22,0,22,0,5,0
Q8WU76,47,2,45,2,19,0
Q8WXK1,27,0,27,0,8,0
Q92504,39,3,36,3,17,0
Q92995,67,7,60,6,35,0
Q93052,64,21,43,17,45,0
Q96CM8,38,5,33,1,14,0
Q96JB3,62,8,54,6,31,0
Q96MC9,26,0,26,0,11,0
Q96Q89,169,20,149,19,102,0
Q9GZU0,14,0,14,0,7,0
Q9H158,95,4,91,4,44,0
Q9HAQ2,68,8,60,8,39,0
Q9NQX0,53,1,52,1,25,0
Q9NRE2,150,12,138,8,80,0
Q9NRU3,77,6,71,5,33,0
Q9P0L9,51,0,51,0,18,0
Q9UBR1,19,0,19,0,4,0
Q9UH90,58,0,58,0,19,0
Q9UHV5,44,2,42,0,17,0
Q9ULE4,74,5,69,4,42,0
Q9UMW8,28,0,28,0,9,0
A0A0B4J1X8,12,0,12,0,3,0
A0A1W2PQ72,34,0,34,0,15,0
A5PLN9,32,0,32,0,12,0
A8MQ14,86,2,84,2,25,0
A8MVZ5,20,0,20,0,5,0
O00453,10,3,7,3,8,0
O00591,44,3,41,3,12,0
O00622,25,1,24,1,9,0
O14544,78,12,66,11,47,0
O14595,17,0,17,0,5,0
O14810,5,2,3,2,4,0
O15021,394,49,345,47,262,0
O15050,182,5,177,5,73,0
O15117,91,19,72,16,62,0
O15144,19,3,16,2,9,0
O15156,37,4,33,3,25,0
O15194,24,3,21,1,10,0
O15552,24,2,22,2,6,0
O43820,21,0,21,0,5,0
O43847,73,8,65,6,30,0
O75460,91,9,82,9,50,0
O75787,39,3,36,2,7,0
P05455,23,6,17,4,14,0
P05496,14,0,14,0,6,0
P08754,25,5,20,4,12,0
P15391,54,3,51,2,31,0
P16402,26,11,15,6,15,0
P22626,42,19,23,18,37,0
P29274,24,1,23,1,10,0
P30837,23,5,18,3,13,0
P42695,171,32,139,20,70,0
P50120,3,0,3,0,1,0
P78334,48,1,47,0,19,0
Q01538,147,17,130,16,89,0
Q07325,7,0,7,0,3,0
Q09327,25,0,25,0,10,0
Q13257,21,5,16,1,4,0
Q13371,28,8,20,4,12,0
Q13630,20,3,17,3,13,0
Q15544,18,3,15,2,12,0
Q16625,66,21,45,16,38,0
Q4G0X9,74,4,70,4,48,0
Q538Z0,4,0,4,0,2,0
Q56VL3,13,1,12,1,6,0
Q587J7,74,0,74,0,34,0
Q5T0D9,15,1,14,1,9,0
Q5TCM9,21,0,21,0,7,0
Q5VTY9,34,0,34,0,6,0
Q5VZR4,9,1,8,1,4,0
Q63HM9,18,0,18,0,8,0
Q6P3W7,83,10,73,7,39,0
Q6UWY2,19,0,19,0,5,0
Q6ZNH5,39,0,39,0,14,0
Q7Z434,98,28,70,24,69,0
Q86SQ0,233,72,161,67,176,0
Q86VZ5,19,0,19,0,6,0
Q86YH2,55,5,50,5,26,0
Q86YR6,46,1,45,1,23,0
Q8IU81,50,14,36,11,29,0
Q8IV33,113,2,111,2,32,0
Q8IVF6,53,1,52,1,26,0
Q8IZL2,137,11,126,7,62,0
Q8N1L9,31,2,29,2,17,0
Q8N336,17,0,17,0,11,0
Q8N5M4,8,1,7,0,3,0
Q8N5M9,17,1,16,1,5,0
Q8N9F0,10,0,10,0,1,0
Q8NC60,39,2,37,2,19,0
Q8NDX2,42,0,42,0,11,0
Q8NG85,24,0,24,0,4,0
Q8TAB5,21,0,21,0,14,0
Q8TAC1,10,1,9,1,4,0
Q8TBY0,36,2,34,2,11,0
Q96E52,38,2,36,0,10,0
Q96FT9,18,2,16,2,12,0
Q96HQ0,47,2,45,1,11,0
Q96IU4,15,2,13,0,2,0
Q96IX9,6,0,6,0,3,0
Q96L91,286,46,240,42,164,0
Q9BRQ0,35,6,29,4,23,0
Q9BRZ2,43,6,37,6,23,0
Q9BUL8,12,1,11,0,6,0
Q9BYR5,15,0,15,0,0,0
Q9H1M3,12,0,12,0,4,0
Q9H5I1,26,4,22,4,14,0
Q9HCX3,67,5,62,2,18,0
Q9NQ32,27,0,27,0,11,0
Q9NQF3,17,0,17,0,5,0
Q9NQI0,62,2,60,0,30,0
Q9NR99,280,12,268,5,125,0
Q9NRY6,13,2,11,1,5,0
Q9NRZ7,18,0,18,0,7,0
Q9NV35,7,0,7,0,1,0
Q9NY74,124,17,107,15,85,0
Q9NY87,9,0,9,0,8,0
Q9UBS3,25,4,21,3,17,0
Q9UQG0,46,0,46,0,11,0
Q9Y2Z4,31,3,28,1,12,0
A0A075B6H9,21,0,21,0,7,0
A0A096LPG2,1,0,1,0,0,0
A0A2R8Y4M4,8,0,8,0,3,0
A6NFA1,33,0,33,0,15,0
A8MUZ8,24,0,24,0,9,0
B0I1T2,55,5,50,5,21,0
O00253,3,0,3,0,1,0
O00566,69,21,48,15,41,0
O14905,30,0,30,0,12,0
O15528,29,0,29,0,6,0
O75093,100,0,100,0,33,0
O75534,58,13,45,9,28,0
O94875,177,40,137,39,127,0
O95455,22,0,22,0,5,0
O95868,9,0,9,0,4,0
P04216,22,3,19,2,8,0
P0C7N1,27,0,27,0,3,0
P0DN81,26,0,26,0,3,0
P0DPI3,17,0,17,0,6,0
P17031,56,3,53,3,21,0
P28039,54,4,50,3,26,0
P30085,14,3,11,3,10,0
P30301,19,3,16,1,4,0
P32247,41,0,41,0,10,0
P32302,25,2,23,2,8,0
P50151,2,0,2,0,0,0
P51687,37,1,36,1,11,0
P51811,42,5,37,4,21,0
P55773,10,0,10,0,2,0
P56278,4,0,4,0,0,0
P63172,10,1,9,1,5,0
P68366,35,14,21,13,28,0
P84243,11,5,6,4,8,0
Q00532,15,0,15,0,3,0
Q01851,33,2,31,2,17,0
Q01974,74,3,71,2,20,0
Q05195,35,7,28,6,27,0
Q05329,32,1,31,1,13,0
Q12802,407,88,319,61,240,0
Q13415,108,31,77,26,73,0
Q13938,27,3,24,3,14,0
Q14410,37,0,37,0,15,0
Q14831,58,3,55,3,22,0
Q16595,19,3,16,3,13,0
Q3KNW5,26,0,26,0,4,0
Q4G0A6,94,18,76,13,53,0
Q4ZHG4,228,22,206,19,153,0
Q5SY68,6,0,6,0,3,0
Q5T871,8,0,8,0,0,0
Q5VXU9,147,2,145,2,73,0
Q6PB30,6,0,6,0,4,0
Q6UX65,19,0,19,0,1,0
Q6ZS62,11,0,11,0,2,0
Q7L2K0,30,0,30,0,12,0
Q7L5A8,24,0,24,0,7,0
Q7Z478,110,14,96,13,60,0
Q86VZ2,38,0,38,0,16,0
Q86WH2,18,2,16,1,8,0
Q86WR6,21,0,21,0,12,0
Q8IXQ3,14,6,8,5,12,0
Q8N146,29,0,29,0,6,0
Q8N302,69,9,60,9,36,0
Q8N8E3,73,14,59,13,46,0
Q8TAS1,32,1,31,0,8,0
Q8TC21,37,0,37,0,8,0
Q96F63,25,7,18,7,18,0
Q96FQ7,9,1,8,1,5,0
Q96M32,37,3,34,0,12,0
Q96M94,42,1,41,0,13,0
Q96NJ3,47,0,47,0,16,0
Q96PZ7,341,2,339,2,114,0
Q96QH8,10,0,10,0,3,0
Q96R28,30,0,30,0,5,0
Q96T88,80,21,59,20,53,0
Q99437,14,0,14,0,2,0
Q99784,37,0,37,0,12,0
Q9BQ39,90,13,77,12,58,0
Q9BWS9,29,2,27,2,14,0
Q9BWU0,86,19,67,19,61,0
Q9BY41,23,1,22,1,11,0
Q9BY79,57,0,57,0,15,0
Q9H1K1,16,6,10,4,10,0
Q9H313,33,0,33,0,7,0
Q9HC78,98,16,82,8,41,0
Q9NSQ0,3,0,3,0,2,0
Q9NWH9,169,56,113,34,102,0
Q9NYZ2,25,0,25,0,7,0
Q9P203,117,10,107,7,57,0
Q9P2X8,9,0,9,0,1,0
Q9UHF5,14,0,14,0,7,0
Q9UL18,43,6,37,4,19,0
Q9UMR3,56,0,56,0,22,0
Q9UNK4,5,0,5,0,0,0
Q9Y3U8,5,1,4,1,3,0
Q9Y5H3,88,1,87,0,30,0
Q9Y6E2,23,2,21,1,10,0
Q9Y6E7,26,3,23,1,6,0
Q9Y6F6,106,11,95,9,65,0
Q9Y6Q9,213,35,178,33,141,0
A0A087WT01,10,0,10,0,2,0
A0A2U3TZM8,34,0,34,0,18,0
A0A6Q8PGZ7,2,0,2,0,0,0
A0FGR8,96,21,75,15,50,0
A9YTQ3,60,2,58,2,33,0
B2RXF0,23,0,23,0,4,0
C4AMC7,37,0,37,0,8,0
E2RYF7,19,0,19,0,13,0
O14817,11,0,11,0,3,0
O14901,51,5,46,5,27,0
O15537,20,3,17,3,10,0
O43529,14,0,14,0,4,0
O60756,5,0,5,0,1,0
O75971,9,0,9,0,4,0
O95049,93,0,93,0,60,0
O95644,134,28,106,20,75,0
P01730,41,4,37,1,13,0
P04198,47,8,39,5,30,0
P07204,32,0,32,0,9,0
P07305,21,5,16,2,9,0
P0C0S5,9,1,8,1,7,0
P0C7V9,15,1,14,1,9,0
P0DH78,6,0,6,0,0,0
P13798,69,7,62,5,31,0
P15289,28,0,28,0,9,0
P23434,15,3,12,3,10,0
P24390,12,0,12,0,5,0
P29371,35,0,35,0,16,0
P39748,39,12,27,8,21,0
P49207,9,2,7,2,6,0
P51689,33,0,33,0,13,0
P52564,29,6,23,4,16,0
P54845,16,1,15,1,9,0
P60484,29,8,21,4,14,0
P62310,2,0,2,0,0,0
Q02577,11,0,11,0,8,0
Q08AG7,4,0,4,0,1,0
Q13117,35,0,35,0,11,0
Q14344,23,1,22,1,6,0
Q14498,78,23,55,17,50,0
Q15435,30,8,22,4,12,0
Q16515,30,0,30,0,12,0
Q38SD2,158,2,156,2,68,0
Q496Y0,47,1,46,0,20,0
Q5BKY1,15,0,15,0,3,0
Q5GLZ8,67,3,64,2,24,0
Q5JXM2,31,0,31,0,14,0
Q5T0L3,31,0,31,0,16,0
Q6DN03,29,6,23,4,16,0
Q6P9F0,72,4,68,0,28,0
Q6UWI2,48,0,48,0,13,0
Q6UXV4,24,0,24,0,11,0
Q6ZR08,179,2,177,0,47,0
Q6ZWI9,19,0,19,0,4,0
Q7RTS1,12,0,12,0,6,0
Q86SK9,20,0,20,0,5,0
Q86WZ0,72,2,70,2,34,0
Q86YW7,2,0,2,0,0,0
Q8IZ40,51,13,38,12,38,0
Q8N4F4,42,0,42,0,11,0
Q8N4S9,49,11,38,11,37,0
Q8N5X7,15,0,15,0,5,0
Q8N9Z9,43,0,43,0,17,0
Q8NA61,44,10,34,8,29,0
Q8ND90,14,1,13,1,6,0
Q8NGI3,27,0,27,0,4,0
Q8NGL1,27,0,27,0,0,0
Q8NHP1,21,2,19,2,13,0
Q8TAE8,8,1,7,0,3,0
Q8TDG4,85,2,83,1,43,0
Q8WVN8,32,1,31,1,18,0
Q92569,28,2,26,1,9,0
Q92608,148,28,120,27,86,0
Q92963,16,3,13,2,5,0
Q96EY4,11,2,9,2,9,0
Q96KN4,18,2,16,1,10,0
Q96LC7,80,5,75,4,29,0
Q96MT7,122,1,121,1,61,0
Q96N67,235,42,193,40,141,0
Q96NW7,156,8,148,8,94,0
Q9BRP4,38,1,37,0,15,0
Q9BVV8,11,2,9,2,7,0
Q9BY15,66,3,63,2,21,0
Q9H115,16,0,16,0,6,0
Q9H6X4,24,3,21,2,14,0
Q9H9J4,175,34,141,32,120,0
Q9NPA3,20,7,13,3,8,0
Q9NPF5,33,9,24,9,25,0
Q9NPI6,92,26,66,24,65,0
Q9NVM1,14,4,10,2,7,0
Q9NX61,30,4,26,3,12,0
Q9UBC2,143,43,100,38,104,0
Q9UFH2,241,7,234,4,98,0
Q9UIB8,30,3,27,2,11,0
Q9ULZ1,3,0,3,0,1,0
Q9UM63,41,3,38,2,16,0
Q9UMQ6,53,0,53,0,23,0
Q9UNS2,30,3,27,2,10,0
Q9UPX8,206,27,179,26,136,0
Q9Y6B6,11,2,9,2,6,0
A0A0B4J2A2,9,0,9,0,5,0
A0A0J9YXV3,14,0,14,0,6,0
A0A1B0GVZ9,23,0,23,0,3,0
A0A286YF77,6,0,6,0,1,0
A0PJE2,18,0,18,0,7,0
A6NEH6,10,0,10,0,8,0
O14792,17,0,17,0,5,0
O75452,22,1,21,1,11,0
O75678,35,0,35,0,9,0
O75820,49,1,48,0,17,0
O95704,45,3,42,2,19,0
P04049,101,36,65,25,58,0
P04908,3,0,3,0,1,0
P0DMU8,16,0,16,0,7,0
P0DP01,13,0,13,0,2,0
P20963,8,3,5,1,3,0
P25440,104,20,84,15,65,0
P29597,82,8,74,4,28,0
P31949,12,6,6,2,4,0
P43268,39,3,36,2,21,0
P47944,1,0,1,0,0,0
P50443,67,6,61,3,22,0
P50539,30,1,29,1,20,0
P50851,316,60,256,37,137,0
P51460,4,0,4,0,0,0
P55285,55,2,53,1,23,0
P78406,33,2,31,1,11,0
Q06732,58,0,58,0,16,0
Q13838,26,8,18,5,10,0
Q15366,49,13,36,13,39,0
Q32P41,40,2,38,2,15,0
Q49AH0,9,0,9,0,4,0
Q5FWF6,28,0,28,0,13,0
Q5H8A4,85,1,84,1,29,0
Q5T8D3,65,17,48,12,36,0
Q5TA81,15,0,15,0,1,0
Q5VTE6,54,2,52,1,26,0
Q68D06,70,1,69,0,23,0
Q6NXN4,16,0,16,0,10,0
Q6ZNE9,37,0,37,0,15,0
Q7L8A9,30,3,27,2,20,0
Q7RTU4,18,0,18,0,10,0
Q7Z3D6,43,2,41,2,19,0
Q7Z3U7,141,0,141,0,44,0
Q86VD9,37,0,37,0,6,0
Q86WS3,10,0,10,0,4,0
Q8IVT2,96,39,57,39,87,0
Q8IYT4,39,0,39,0,17,0
Q8IZJ1,79,5,74,4,29,0
Q8N1N2,23,0,23,0,3,0
Q8N5Z5,21,0,21,0,8,0
Q8N9F7,14,0,14,0,5,0
Q8NBJ9,61,4,57,4,21,0
Q8NCT3,47,0,47,0,19,0
Q8NER5,32,0,32,0,12,0
Q8NGR3,25,1,24,0,1,0
Q8NGX2,27,2,25,1,8,0
Q8NHS3,36,1,35,0,9,0
Q8TB24,101,12,89,7,53,0
Q8TCY9,72,5,67,5,32,0
Q8TDY4,87,6,81,5,43,0
Q8WWB7,38,0,38,0,12,0
Q8WWU5,42,0,42,0,19,0
Q92870,85,16,69,16,57,0
Q969H9,12,0,12,0,5,0
Q96AQ7,18,0,18,0,9,0
Q96CS7,11,0,11,0,2,0
Q96DC7,31,0,31,0,5,0
Q96EG1,32,2,30,0,9,0
Q96LJ7,29,2,27,1,8,0
Q96MH6,7,0,7,0,2,0
Q9BQY9,31,3,28,3,20,0
Q9BT23,13,3,10,2,6,0
Q9BV87,39,0,39,0,8,0
Q9BZL4,81,23,58,20,63,0
Q9H093,69,11,58,11,45,0
Q9H0X4,59,2,57,2,26,0
Q9H0Z9,14,0,14,0,7,0
Q9H201,94,22,72,21,61,0
Q9HA77,42,1,41,1,22,0
Q9HCC6,18,1,17,0,9,0
Q9HCU4,251,16,235,15,104,0
Q9HD40,45,8,37,4,14,0
Q9NQS3,42,4,38,3,22,0
Q9NS68,43,2,41,2,19,0
Q9NS98,49,1,48,1,25,0
Q9NUJ3,45,9,36,6,20,0
Q9NYJ7,40,2,38,2,15,0
Q9P2E3,119,4,115,2,37,0
Q9UBS8,39,5,34,5,19,0
Q9UBX7,21,0,21,0,6,0
Q9UL19,15,1,14,1,9,0
Q9ULB4,51,3,48,1,16,0
Q9UN30,37,7,30,6,20,0
Q9UQ90,38,1,37,1,13,0
Q9Y4C8,88,16,72,14,57,0
Q9Y4F1,125,36,89,35,91,0
Q9Y4G2,114,13,101,13,61,0
A0A0G2JMI3,7,0,7,0,1,0
A0A0J9YX57,52,0,52,0,35,0
A0A1W2PPE2,14,0,14,0,9,0
A0A590UJ96,87,0,87,0,41,0
A0A8V8TLY5,11,0,11,0,6,0
A6NHM9,32,0,32,0,9,0
A6NKC9,42,0,42,0,27,0
O00469,31,1,30,1,14,0
O00471,40,1,39,1,15,0
O14862,17,1,16,1,10,0
O15173,19,4,15,3,14,0
O15305,12,3,9,2,6,0
O43189,63,5,58,4,32,0
O94905,21,2,19,2,7,0
O95156,20,0,20,0,5,0
O95274,27,1,26,1,11,0
O95620,16,0,16,0,7,0
O95936,76,7,69,7,47,0
P01011,32,3,29,3,13,0
P03999,25,0,25,0,4,0
P05091,27,5,22,5,18,0
P05386,8,3,5,2,5,0
P0DV74,43,0,43,0,15,0
P16591,68,9,59,5,29,0
P16860,15,0,15,0,10,0
P17516,20,5,15,2,9,0
P18433,64,7,57,5,29,0
P19388,5,0,5,0,2,0
P19622,32,4,28,4,22,0
P26371,38,0,38,0,3,0
P28330,31,3,28,3,9,0
P28472,32,2,30,2,16,0
P34903,36,3,33,3,19,0
P48067,50,2,48,2,11,0
P49407,19,3,16,1,5,0
P50591,28,1,27,1,11,0
P56715,248,6,242,6,121,0
P60660,6,3,3,3,6,0
P61513,10,4,6,3,6,0
P62502,9,0,9,0,3,0
P62834,10,2,8,2,7,0
Q00LT1,3,0,3,0,3,0
Q01831,106,31,75,22,63,0
Q07890,121,13,108,12,67,0
Q13888,31,1,30,1,15,0
Q13946,52,5,47,3,25,0
Q147U1,43,2,41,2,16,0
Q15327,8,0,8,0,3,0
Q330K2,18,0,18,0,8,0
Q5I0X7,8,0,8,0,4,0
Q5JR12,43,7,36,3,17,0
Q5T3U5,99,5,94,2,26,0
Q5T764,17,0,17,0,6,0
Q5T9L3,26,2,24,2,9,0
Q5VTL8,90,28,62,21,56,0
Q5VW22,79,0,79,0,28,0
Q6P2C8,28,3,25,2,14,0
Q6UXQ4,5,0,5,0,4,0
Q7LGA3,14,0,14,0,5,0
Q7Z5K2,147,36,111,34,105,0
Q86TX2,16,2,14,1,9,0
Q86VY9,69,8,61,6,41,0
Q8IX01,131,34,97,30,94,0
