,entry_count,positive_count,negative_count,correctly_guessed,positive_guess_count,negative_guess_count
Q3B7T1,136,4,132,79,61,75
Q3SXZ3,35,0,35,29,6,29
Q53FV1,10,0,10,8,2,8
Q5I0G3,30,0,30,20,10,20
Q5JTW2,67,7,60,34,40,27
Q5STR5,1,0,1,0,1,0
Q5T5C0,133,25,108,75,79,54
Q5T686,11,0,11,3,8,3
Q5T6J7,13,0,13,9,4,9
Q5T7W0,85,5,80,46,38,47
Q70EL2,87,0,87,41,46,41
Q71F56,262,32,230,156,118,144
Q7RTT3,9,0,9,2,7,2
Q86XM0,62,0,62,52,10,52
Q8IYI6,50,10,40,28,28,22
Q8IZC4,49,5,44,28,24,25
Q8N0Z3,103,27,76,51,65,38
Q8N2U0,7,0,7,6,1,6
Q8N608,71,4,67,44,27,44
Q8N806,39,10,29,23,14,25
Q8N8F6,31,1,30,26,4,27
Q8NAF0,41,10,31,21,30,11
Q8NCX0,64,1,63,33,32,32
Q8NGE9,19,0,19,16,3,16
Q8NGI6,22,0,22,19,3,19
Q8NGS7,27,0,27,25,2,25
Q8NH64,22,0,22,17,5,17
Q8WU76,47,2,45,36,13,34
Q8WXK1,27,0,27,21,6,21
Q92504,39,3,36,27,15,24
Q92995,67,7,60,45,27,40
Q93052,64,21,43,39,34,30
Q96CM8,38,5,33,24,11,27
Q96JB3,62,8,54,38,30,32
Q96MC9,26,0,26,12,14,12
Q96Q89,169,20,149,81,102,67
Q9GZU0,14,0,14,5,9,5
Q9H158,95,4,91,55,42,53
Q9HAQ2,68,8,60,35,37,31
Q9NQX0,53,1,52,37,17,36
Q9NRE2,150,12,138,72,86,64
Q9NRU3,77,6,71,35,46,31
Q9P0L9,51,0,51,33,18,33
Q9UBR1,19,0,19,13,6,13
Q9UH90,58,0,58,35,23,35
Q9UHV5,44,2,42,17,27,17
Q9ULE4,74,5,69,32,47,27
Q9UMW8,28,0,28,16,12,16
A0A0B4J1X8,12,0,12,10,2,10
A0A1W2PQ72,34,0,34,20,14,20
A5PLN9,32,0,32,28,4,28
A8MQ14,86,2,84,78,6,80
A8MVZ5,20,0,20,11,9,11
O00453,10,3,7,4,7,3
O00591,44,3,41,35,10,34
O00622,25,1,24,20,6,19
O14544,78,12,66,37,53,25
O14595,17,0,17,8,9,8
O14810,5,2,3,2,3,2
O15021,394,49,345,150,289,105
O15050,182,5,177,106,79,103
O15117,91,19,72,45,59,32
O15144,19,3,16,12,10,9
O15156,37,4,33,18,23,14
O15194,24,3,21,11,12,12
O15552,24,2,22,21,5,19
O43820,21,0,21,14,7,14
O43847,73,8,65,46,31,42
O75460,91,9,82,55,45,46
O75787,39,3,36,28,12,27
P05455,23,6,17,14,15,8
P05496,14,0,14,7,7,7
P08754,25,5,20,14,16,9
P15391,54,3,51,26,31,23
P16402,26,11,15,12,23,3
P22626,42,19,23,21,36,6
P29274,24,1,23,18,5,19
P30837,23,5,18,11,17,6
P42695,171,32,139,95,92,79
P50120,3,0,3,2,1,2
P78334,48,1,47,34,13,35
Q01538,147,17,130,68,94,53
Q07325,7,0,7,4,3,4
Q09327,25,0,25,15,10,15
Q13257,21,5,16,12,6,15
Q13371,28,8,20,19,15,13
Q13630,20,3,17,13,8,12
Q15544,18,3,15,9,10,8
Q16625,66,21,45,40,33,33
Q4G0X9,74,4,70,26,50,24
Q538Z0,4,0,4,3,1,3
Q56VL3,13,1,12,10,2,11
Q587J7,74,0,74,46,28,46
Q5T0D9,15,1,14,9,7,8
Q5TCM9,21,0,21,16,5,16
Q5VTY9,34,0,34,30,4,30
Q5VZR4,9,1,8,7,3,6
Q63HM9,18,0,18,9,9,9
Q6P3W7,83,10,73,52,27,56
Q6UWY2,19,0,19,12,7,12
Q6ZNH5,39,0,39,31,8,31
Q7Z434,98,28,70,61,49,49
Q86SQ0,233,72,161,112,169,64
Q86VZ5,19,0,19,13,6,13
Q86YH2,55,5,50,34,24,31
Q86YR6,46,1,45,26,19,27
Q8IU81,50,14,36,30,32,18
Q8IV33,113,2,111,73,38,75
Q8IVF6,53,1,52,27,27,26
Q8IZL2,137,11,126,87,53,84
Q8N1L9,31,2,29,17,16,15
Q8N336,17,0,17,6,11,6
Q8N5M4,8,1,7,2,5,3
Q8N5M9,17,1,16,14,4,13
Q8N9F0,10,0,10,8,2,8
Q8NC60,39,2,37,26,15,24
Q8NDX2,42,0,42,34,8,34
Q8NG85,24,0,24,21,3,21
Q8TAB5,21,0,21,5,16,5
Q8TAC1,10,1,9,8,3,7
Q8TBY0,36,2,34,24,14,22
Q96E52,38,2,36,22,14,24
Q96FT9,18,2,16,11,9,9
Q96HQ0,47,2,45,41,4,43
Q96IU4,15,2,13,8,7,8
Q96IX9,6,0,6,3,3,3
Q96L91,286,46,240,145,175,111
Q9BRQ0,35,6,29,20,19,16
Q9BRZ2,43,6,37,24,23,20
Q9BUL8,12,1,11,7,4,8
Q9BYR5,15,0,15,15,0,15
Q9H1M3,12,0,12,8,4,8
Q9H5I1,26,4,22,19,11,15
Q9HCX3,67,5,62,57,13,54
Q9NQ32,27,0,27,11,16,11
Q9NQF3,17,0,17,11,6,11
Q9NQI0,62,2,60,29,31,31
Q9NR99,280,12,268,152,134,146
Q9NRY6,13,2,11,8,7,6
Q9NRZ7,18,0,18,10,8,10
Q9NV35,7,0,7,2,5,2
Q9NY74,124,17,107,70,61,63
Q9NY87,9,0,9,2,7,2
Q9UBS3,25,4,21,11,14,11
Q9UQG0,46,0,46,30,16,30
Q9Y2Z4,31,3,28,18,12,19
A0A075B6H9,21,0,21,7,14,7
A0A096LPG2,1,0,1,1,0,1
A0A2R8Y4M4,8,0,8,5,3,5
A6NFA1,33,0,33,20,13,20
A8MUZ8,24,0,24,19,5,19
B0I1T2,55,5,50,35,23,32
O00253,3,0,3,1,2,1
O00566,69,21,48,33,47,22
O14905,30,0,30,18,12,18
O15528,29,0,29,21,8,21
O75093,100,0,100,74,26,74
O75534,58,13,45,35,30,28
O94875,177,40,137,89,124,53
O95455,22,0,22,14,8,14
O95868,9,0,9,8,1,8
P04216,22,3,19,15,8,14
P0C7N1,27,0,27,24,3,24
P0DN81,26,0,26,24,2,24
P0DPI3,17,0,17,11,6,11
P17031,56,3,53,41,16,40
P28039,54,4,50,35,21,33
P30085,14,3,11,5,12,2
P30301,19,3,16,15,7,12
P32247,41,0,41,34,7,34
P32302,25,2,23,17,10,15
P50151,2,0,2,2,0,2
P51687,37,1,36,21,15,22
P51811,42,5,37,27,20,22
P55773,10,0,10,9,1,9
P56278,4,0,4,4,0,4
P63172,10,1,9,9,0,10
P68366,35,14,21,19,14,21
P84243,11,5,6,6,10,1
Q00532,15,0,15,10,5,10
Q01851,33,2,31,20,13,20
Q01974,74,3,71,46,31,43
Q05195,35,7,28,12,26,9
Q05329,32,1,31,21,12,20
Q12802,407,88,319,215,234,173
Q13415,108,31,77,55,80,28
Q13938,27,3,24,13,17,10
Q14410,37,0,37,32,5,32
Q14831,58,3,55,38,21,37
Q16595,19,3,16,7,15,4
Q3KNW5,26,0,26,22,4,22
Q4G0A6,94,18,76,48,54,40
Q4ZHG4,228,22,206,88,152,76
Q5SY68,6,0,6,5,1,5
Q5T871,8,0,8,6,2,6
Q5VXU9,147,2,145,84,63,84
Q6PB30,6,0,6,0,6,0
Q6UX65,19,0,19,18,1,18
Q6ZS62,11,0,11,9,2,9
Q7L2K0,30,0,30,13,17,13
Q7L5A8,24,0,24,15,9,15
Q7Z478,110,14,96,51,67,43
Q86VZ2,38,0,38,28,10,28
Q86WH2,18,2,16,8,12,6
Q86WR6,21,0,21,9,12,9
Q8IXQ3,14,6,8,8,12,2
Q8N146,29,0,29,25,4,25
Q8N302,69,9,60,38,40,29
Q8N8E3,73,14,59,40,41,32
Q8TAS1,32,1,31,17,14,18
Q8TC21,37,0,37,35,2,35
Q96F63,25,7,18,14,18,7
Q96FQ7,9,1,8,6,4,5
Q96M32,37,3,34,24,14,23
Q96M94,42,1,41,34,7,35
Q96NJ3,47,0,47,35,12,35
Q96PZ7,341,2,339,227,114,227
Q96QH8,10,0,10,9,1,9
Q96R28,30,0,30,24,6,24
Q96T88,80,21,59,39,56,24
Q99437,14,0,14,13,1,13
Q99784,37,0,37,26,11,26
Q9BQ39,90,13,77,37,64,26
Q9BWS9,29,2,27,19,12,17
Q9BWU0,86,19,67,44,57,29
Q9BY41,23,1,22,15,9,14
Q9BY79,57,0,57,46,11,46
Q9H1K1,16,6,10,9,9,7
Q9H313,33,0,33,28,5,28
Q9HC78,98,16,82,56,42,56
Q9NSQ0,3,0,3,0,3,0
Q9NWH9,169,56,113,67,142,27
Q9NYZ2,25,0,25,17,8,17
Q9P203,117,10,107,67,58,59
Q9P2X8,9,0,9,4,5,4
Q9UHF5,14,0,14,7,7,7
Q9UL18,43,6,37,24,19,24
Q9UMR3,56,0,56,32,24,32
Q9UNK4,5,0,5,5,0,5
Q9Y3U8,5,1,4,1,5,0
Q9Y5H3,88,1,87,53,36,52
Q9Y6E2,23,2,21,16,9,14
Q9Y6E7,26,3,23,19,6,20
Q9Y6F6,106,11,95,46,67,39
Q9Y6Q9,213,35,178,116,110,103
A0A087WT01,10,0,10,6,4,6
A0A2U3TZM8,34,0,34,10,24,10
A0A6Q8PGZ7,2,0,2,2,0,2
A0FGR8,96,21,75,49,56,40
A9YTQ3,60,2,58,33,29,31
B2RXF0,23,0,23,19,4,19
C4AMC7,37,0,37,24,13,24
E2RYF7,19,0,19,7,12,7
O14817,11,0,11,10,1,10
O14901,51,5,46,32,22,29
O15537,20,3,17,15,4,16
O43529,14,0,14,8,6,8
O60756,5,0,5,3,2,3
O75971,9,0,9,7,2,7
O95049,93,0,93,28,65,28
O95644,134,28,106,74,82,52
P01730,41,4,37,21,22,19
P04198,47,8,39,17,38,9
P07204,32,0,32,28,4,28
P07305,21,5,16,7,19,2
P0C0S5,9,1,8,3,5,4
P0C7V9,15,1,14,9,7,8
P0DH78,6,0,6,5,1,5
P13798,69,7,62,44,28,41
P15289,28,0,28,21,7,21
P23434,15,3,12,9,9,6
P24390,12,0,12,12,0,12
P29371,35,0,35,18,17,18
P39748,39,12,27,20,29,10
P49207,9,2,7,4,7,2
P51689,33,0,33,20,13,20
P52564,29,6,23,19,6,23
P54845,16,1,15,4,13,3
P60484,29,8,21,18,13,16
P62310,2,0,2,1,1,1
Q02577,11,0,11,5,6,5
Q08AG7,4,0,4,4,0,4
Q13117,35,0,35,16,19,16
Q14344,23,1,22,15,9,14
Q14498,78,23,55,37,60,18
Q15435,30,8,22,20,10,20
Q16515,30,0,30,23,7,23
Q38SD2,158,2,156,107,53,105
Q496Y0,47,1,46,27,19,28
Q5BKY1,15,0,15,9,6,9
Q5GLZ8,67,3,64,44,24,43
Q5JXM2,31,0,31,16,15,16
Q5T0L3,31,0,31,18,13,18
Q6DN03,29,6,23,15,18,11
Q6P9F0,72,4,68,40,32,40
Q6UWI2,48,0,48,26,22,26
Q6UXV4,24,0,24,12,12,12
Q6ZR08,179,2,177,126,51,128
Q6ZWI9,19,0,19,17,2,17
Q7RTS1,12,0,12,3,9,3
Q86SK9,20,0,20,14,6,14
Q86WZ0,72,2,70,33,39,33
Q86YW7,2,0,2,2,0,2
Q8IZ40,51,13,38,26,30,21
Q8N4F4,42,0,42,31,11,31
Q8N4S9,49,11,38,24,36,13
Q8N5X7,15,0,15,12,3,12
Q8N9Z9,43,0,43,25,18,25
Q8NA61,44,10,34,17,37,7
Q8ND90,14,1,13,9,6,8
Q8NGI3,27,0,27,23,4,23
Q8NGL1,27,0,27,25,2,25
Q8NHP1,21,2,19,14,9,12
Q8TAE8,8,1,7,6,1,7
Q8TDG4,85,2,83,50,35,50
Q8WVN8,32,1,31,20,13,19
Q92569,28,2,26,17,11,17
Q92608,148,28,120,88,86,62
Q92963,16,3,13,10,7,9
Q96EY4,11,2,9,2,7,4
Q96KN4,18,2,16,12,8,10
Q96LC7,80,5,75,47,38,42
Q96MT7,122,1,121,58,65,57
Q96N67,235,42,193,136,133,102
Q96NW7,156,8,148,79,85,71
Q9BRP4,38,1,37,26,11,27
Q9BVV8,11,2,9,4,9,2
Q9BY15,66,3,63,51,16,50
Q9H115,16,0,16,12,4,12
Q9H6X4,24,3,21,14,11,13
Q9H9J4,175,34,141,81,124,51
Q9NPA3,20,7,13,12,5,15
Q9NPF5,33,9,24,15,23,10
Q9NPI6,92,26,66,50,62,30
Q9NVM1,14,4,10,7,11,3
Q9NX61,30,4,26,17,15,15
Q9UBC2,143,43,100,73,97,46
Q9UFH2,241,7,234,145,97,144
Q9UIB8,30,3,27,23,8,22
Q9ULZ1,3,0,3,2,1,2
Q9UM63,41,3,38,27,15,26
Q9UMQ6,53,0,53,29,24,29
Q9UNS2,30,3,27,24,5,25
Q9UPX8,206,27,179,91,138,68
Q9Y6B6,11,2,9,7,6,5
A0A0B4J2A2,9,0,9,3,6,3
A0A0J9YXV3,14,0,14,8,6,8
A0A1B0GVZ9,23,0,23,21,2,21
A0A286YF77,6,0,6,6,0,6
A0PJE2,18,0,18,9,9,9
A6NEH6,10,0,10,5,5,5
O14792,17,0,17,8,9,8
O75452,22,1,21,11,10,12
O75678,35,0,35,25,10,25
O75820,49,1,48,41,7,42
O95704,45,3,42,21,27,18
P04049,101,36,65,56,63,38
P04908,3,0,3,0,3,0
P0DMU8,16,0,16,8,8,8
P0DP01,13,0,13,10,3,10
P20963,8,3,5,5,4,4
P25440,104,20,84,39,77,27
P29597,82,8,74,49,39,43
P31949,12,6,6,6,4,8
P43268,39,3,36,20,22,17
P47944,1,0,1,1,0,1
P50443,67,6,61,48,23,44
P50539,30,1,29,12,19,11
P50851,316,60,256,200,138,178
P51460,4,0,4,3,1,3
P55285,55,2,53,38,19,36
P78406,33,2,31,22,13,20
Q06732,58,0,58,48,10,48
Q13838,26,8,18,15,15,11
Q15366,49,13,36,22,40,9
Q32P41,40,2,38,22,20,20
Q49AH0,9,0,9,6,3,6
Q5FWF6,28,0,28,20,8,20
Q5H8A4,85,1,84,61,25,60
Q5T8D3,65,17,48,36,38,27
Q5TA81,15,0,15,14,1,14
Q5VTE6,54,2,52,39,15,39
Q68D06,70,1,69,46,25,45
Q6NXN4,16,0,16,3,13,3
Q6ZNE9,37,0,37,22,15,22
Q7L8A9,30,3,27,12,21,9
Q7RTU4,18,0,18,6,12,6
Q7Z3D6,43,2,41,25,20,23
Q7Z3U7,141,0,141,97,44,97
Q86VD9,37,0,37,27,10,27
Q86WS3,10,0,10,6,4,6
Q8IVT2,96,39,57,43,84,12
Q8IYT4,39,0,39,25,14,25
Q8IZJ1,79,5,74,51,33,46
Q8N1N2,23,0,23,18,5,18
Q8N5Z5,21,0,21,13,8,13
Q8N9F7,14,0,14,11,3,11
Q8NBJ9,61,4,57,46,19,42
Q8NCT3,47,0,47,23,24,23
Q8NER5,32,0,32,19,13,19
Q8NGR3,25,1,24,21,5,20
Q8NGX2,27,2,25,22,3,24
Q8NHS3,36,1,35,23,12,24
Q8TB24,101,12,89,54,59,42
Q8TCY9,72,5,67,42,35,37
Q8TDY4,87,6,81,49,42,45
Q8WWB7,38,0,38,20,18,20
Q8WWU5,42,0,42,24,18,24
Q92870,85,16,69,51,48,37
Q969H9,12,0,12,9,3,9
Q96AQ7,18,0,18,7,11,7
Q96CS7,11,0,11,7,4,7
Q96DC7,31,0,31,23,8,23
Q96EG1,32,2,30,22,8,24
Q96LJ7,29,2,27,22,9,20
Q96MH6,7,0,7,5,2,5
Q9BQY9,31,3,28,12,22,9
Q9BT23,13,3,10,8,6,7
Q9BV87,39,0,39,29,10,29
Q9BZL4,81,23,58,33,63,18
Q9H093,69,11,58,31,49,20
Q9H0X4,59,2,57,36,25,34
Q9H0Z9,14,0,14,9,5,9
Q9H201,94,22,72,49,59,35
Q9HA77,42,1,41,21,20,22
Q9HCC6,18,1,17,5,12,6
Q9HCU4,251,16,235,159,102,149
Q9HD40,45,8,37,29,20,25
Q9NQS3,42,4,38,35,9,33
Q9NS68,43,2,41,30,15,28
Q9NS98,49,1,48,24,24,25
Q9NUJ3,45,9,36,26,28,17
Q9NYJ7,40,2,38,26,16,24
Q9P2E3,119,4,115,86,33,86
Q9UBS8,39,5,34,25,19,20
Q9UBX7,21,0,21,15,6,15
Q9UL19,15,1,14,9,5,10
Q9ULB4,51,3,48,31,23,28
Q9UN30,37,7,30,19,25,12
Q9UQ90,38,1,37,23,16,22
Q9Y4C8,88,16,72,45,59,29
Q9Y4F1,125,36,89,66,81,44
Q9Y4G2,114,13,101,69,54,60
A0A0G2JMI3,7,0,7,6,1,6
A0A0J9YX57,52,0,52,12,40,12
A0A1W2PPE2,14,0,14,2,12,2
A0A590UJ96,87,0,87,41,46,41
A0A8V8TLY5,11,0,11,6,5,6
A6NHM9,32,0,32,25,7,25
A6NKC9,42,0,42,14,28,14
O00469,31,1,30,20,12,19
O00471,40,1,39,27,12,28
O14862,17,1,16,6,12,5
O15173,19,4,15,7,14,5
O15305,12,3,9,8,7,5
O43189,63,5,58,27,39,24
O94905,21,2,19,15,6,15
O95156,20,0,20,11,9,11
O95274,27,1,26,20,8,19
O95620,16,0,16,9,7,9
O95936,76,7,69,40,41,35
P01011,32,3,29,22,9,23
P03999,25,0,25,19,6,19
P05091,27,5,22,15,17,10
P05386,8,3,5,4,5,3
P0DV74,43,0,43,19,24,19
P16591,68,9,59,41,34,34
P16860,15,0,15,3,12,3
P17516,20,5,15,11,8,12
P18433,64,7,57,42,25,39
P19388,5,0,5,2,3,2
P19622,32,4,28,10,26,6
P26371,38,0,38,38,0,38
P28330,31,3,28,19,13,18
P28472,32,2,30,19,15,17
P34903,36,3,33,25,14,22
P48067,50,2,48,38,14,36
P49407,19,3,16,15,5,14
P50591,28,1,27,14,15,13
P56715,248,6,242,137,115,133
P60660,6,3,3,3,4,2
P61513,10,4,6,6,6,4
P62502,9,0,9,5,4,5
P62834,10,2,8,8,4,6
Q00LT1,3,0,3,0,3,0
Q01831,106,31,75,42,83,23
Q07890,121,13,108,59,71,50
Q13888,31,1,30,22,10,21
Q13946,52,5,47,22,33,19
Q147U1,43,2,41,32,13,30
Q15327,8,0,8,5,3,5
Q330K2,18,0,18,9,9,9
Q5I0X7,8,0,8,3,5,3
Q5JR12,43,7,36,25,23,20
Q5T3U5,99,5,94,64,32,67
Q5T764,17,0,17,11,6,11
Q5T9L3,26,2,24,19,9,17
Q5VTL8,90,28,62,35,81,9
Q5VW22,79,0,79,53,26,53
Q6P2C8,28,3,25,21,8,20
Q6UXQ4,5,0,5,1,4,1
Q7LGA3,14,0,14,8,6,8
Q7Z5K2,147,36,111,87,84,63
Q86TX2,16,2,14,8,6,10
Q86VY9,69,8,61,35,40,29
Q8IX01,131,34,97,70,83,48
